;SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest
14329;2010;2011;1;Friday;20.08.2010;20:30;Bayern;Wolfsburg;2;1;1;1;147;413;698
14330;2010;2011;1;Saturday;21.08.2010;15:30;Hoffenheim;Bremen;4;1;1;1;262;335;257
14331;2010;2011;1;Saturday;21.08.2010;15:30;Gladbach;Nuernberg;1;1;1;1;189;344;405
14332;2010;2011;1;Saturday;21.08.2010;15:30;Koeln;Klautern;1;3;1;1;217;329;332
14333;2010;2011;1;Saturday;21.08.2010;15:30;Freiburg;St. Pauli;1;3;1;1;208;339;344
14334;2010;2011;1;Saturday;21.08.2010;15:30;Hannover;Frankfurt;2;1;1;1;265;328;259
14335;2010;2011;1;Saturday;21.08.2010;18:30;HSV;Schalke;2;1;1;1;216;335;326
14336;2010;2011;1;Sunday;22.08.2010;15:30;Mainz;Stuttgart;2;0;1;1;306;331;227
14337;2010;2011;1;Sunday;22.08.2010;17:30;Dortmund;Leverkusen;0;2;1;1;227;335;305
14338;2010;2011;2;Friday;27.08.2010;20:30;Klautern;Bayern;2;0;2;6;691;425;145
14339;2010;2011;2;Saturday;28.08.2010;15:30;Schalke;Hannover;1;2;11;6;138;448;813
14340;2010;2011;2;Saturday;28.08.2010;15:30;Bremen;Koeln;4;2;18;14;139;458;765
14341;2010;2011;2;Saturday;28.08.2010;15:30;Wolfsburg;Mainz;3;4;11;4;153;410;584
14342;2010;2011;2;Saturday;28.08.2010;15:30;Frankfurt;HSV;1;3;11;6;321;335;219
14343;2010;2011;2;Saturday;28.08.2010;15:30;Nuernberg;Freiburg;1;2;9;14;194;334;396
14344;2010;2011;2;Saturday;28.08.2010;18:30;St. Pauli;Hoffenheim;0;1;2;1;307;337;225
14345;2010;2011;2;Sunday;29.08.2010;15:30;Leverkusen;Gladbach;3;6;4;9;137;467;795
14346;2010;2011;2;Sunday;29.08.2010;17:30;Stuttgart;Dortmund;1;3;16;16;247;328;281
14347;2010;2011;3;Friday;10.09.2010;20:30;Hoffenheim;Schalke;2;0;1;15;235;330;297
14348;2010;2011;3;Saturday;11.09.2010;15:30;Dortmund;Wolfsburg;2;0;8;14;198;351;367
14349;2010;2011;3;Saturday;11.09.2010;15:30;HSV;Nuernberg;1;1;4;13;137;468;831
14350;2010;2011;3;Saturday;11.09.2010;15:30;Gladbach;Frankfurt;0;4;6;16;200;348;360
14351;2010;2011;3;Saturday;11.09.2010;15:30;Freiburg;Stuttgart;2;1;11;18;333;336;215
14352;2010;2011;3;Saturday;11.09.2010;15:30;Hannover;Leverkusen;2;2;5;9;398;357;189
14353;2010;2011;3;Saturday;11.09.2010;18:30;Bayern;Bremen;0;0;12;9;149;422;639
14354;2010;2011;3;Sunday;12.09.2010;15:30;Mainz;Klautern;2;1;3;1;217;336;328
14355;2010;2011;3;Sunday;12.09.2010;17:30;Koeln;St. Pauli;1;0;17;7;220;333;323
14356;2010;2011;4;Friday;17.09.2010;20:30;Frankfurt;Freiburg;0;1;12;7;175;357;458
14357;2010;2011;4;Saturday;18.09.2010;15:30;Bayern;Koeln;0;0;11;14;122;617;1191
14358;2010;2011;4;Saturday;18.09.2010;15:30;Bremen;Mainz;0;2;10;2;152;424;590
14359;2010;2011;4;Saturday;18.09.2010;15:30;Stuttgart;Gladbach;7;0;18;8;188;348;408
14360;2010;2011;4;Saturday;18.09.2010;15:30;Wolfsburg;Hannover;2;0;16;4;153;419;588
14361;2010;2011;4;Saturday;18.09.2010;15:30;Klautern;Hoffenheim;2;2;5;1;287;334;240
14362;2010;2011;4;Sunday;19.09.2010;15:30;St. Pauli;HSV;1;1;13;3;372;344;198
14363;2010;2011;4;Sunday;19.09.2010;17:30;Schalke;Dortmund;1;3;17;6;231;328;308
14364;2010;2011;4;Sunday;19.09.2010;17:30;Leverkusen;Nuernberg;0;0;8;15;143;440;717
14365;2010;2011;5;Tuesday;21.09.2010;20:00;Mainz;Koeln;2;0;1;12;175;354;470
14366;2010;2011;5;Tuesday;21.09.2010;20:00;Hoffenheim;Bayern;1;2;2;9;369;341;201
14367;2010;2011;5;Tuesday;21.09.2010;20:00;Hannover;Bremen;4;1;7;11;341;354;205
14368;2010;2011;5;Wednesday;22.09.2010;20:00;Leverkusen;Frankfurt;2;1;8;15;181;349;445
14369;2010;2011;5;Wednesday;22.09.2010;20:00;Dortmund;Klautern;5;0;3;6;152;394;647
14370;2010;2011;5;Wednesday;22.09.2010;20:00;HSV;Wolfsburg;1;3;5;17;201;342;365
14371;2010;2011;5;Wednesday;22.09.2010;20:00;Gladbach;St. Pauli;1;2;13;10;212;340;336
14372;2010;2011;5;Wednesday;22.09.2010;20:00;Freiburg;Schalke;1;2;4;18;293;329;238
14373;2010;2011;5;Wednesday;22.09.2010;20:00;Nuernberg;Stuttgart;2;1;16;14;317;330;224
14374;2010;2011;6;Friday;24.09.2010;20:30;Koeln;Hoffenheim;1;1;13;3;331;331;217
14375;2010;2011;6;Saturday;25.09.2010;15:30;Bayern;Mainz;1;2;8;1;147;417;688
14376;2010;2011;6;Saturday;25.09.2010;15:30;Schalke;Gladbach;2;2;18;15;152;401;653
14377;2010;2011;6;Saturday;25.09.2010;15:30;Stuttgart;Leverkusen;1;4;16;7;219;341;320
14378;2010;2011;6;Saturday;25.09.2010;15:30;Frankfurt;Nuernberg;2;0;17;12;208;338;347
14379;2010;2011;6;Saturday;25.09.2010;15:30;St. Pauli;Dortmund;1;3;9;2;467;354;176
14380;2010;2011;6;Saturday;25.09.2010;18:30;Bremen;HSV;3;2;14;6;235;333;296
14381;2010;2011;6;Sunday;26.09.2010;15:30;Wolfsburg;Freiburg;2;1;11;5;151;416;615
14382;2010;2011;6;Sunday;26.09.2010;17:30;Klautern;Hannover;0;1;10;4;220;334;322
14383;2010;2011;7;Friday;01.10.2010;20:30;Hannover;St. Pauli;0;1;3;10;204;338;351
14384;2010;2011;7;Saturday;02.10.2010;15:30;HSV;Klautern;2;1;8;11;154;392;607
14385;2010;2011;7;Saturday;02.10.2010;15:30;Mainz;Hoffenheim;4;2;1;4;227;331;309
14386;2010;2011;7;Saturday;02.10.2010;15:30;Gladbach;Wolfsburg;1;1;16;6;327;345;211
14387;2010;2011;7;Saturday;02.10.2010;15:30;Freiburg;Koeln;3;2;7;15;221;330;323
14388;2010;2011;7;Saturday;02.10.2010;15:30;Nuernberg;Schalke;2;1;14;17;291;330;238
14389;2010;2011;7;Sunday;03.10.2010;15:30;Stuttgart;Frankfurt;1;2;18;13;188;346;410
14390;2010;2011;7;Sunday;03.10.2010;17:30;Dortmund;Bayern;2;0;2;9;248;334;272
14391;2010;2011;7;Sunday;03.10.2010;17:45;Leverkusen;Bremen;2;2;5;12;202;348;354
14392;2010;2011;8;Friday;15.10.2010;20:30;Koeln;Dortmund;1;2;16;2;483;358;173
14393;2010;2011;8;Saturday;16.10.2010;15:30;Bayern;Hannover;3;0;12;3;141;455;761
14394;2010;2011;8;Saturday;16.10.2010;15:30;Schalke;Stuttgart;2;2;17;18;210;339;339
14395;2010;2011;8;Saturday;16.10.2010;15:30;Bremen;Freiburg;2;1;13;5;145;441;664
14396;2010;2011;8;Saturday;16.10.2010;15:30;Mainz;HSV;0;1;1;7;226;333;310
14397;2010;2011;8;Saturday;16.10.2010;15:30;St. Pauli;Nuernberg;3;2;9;11;220;329;329
14398;2010;2011;8;Saturday;16.10.2010;18:30;Wolfsburg;Leverkusen;2;3;8;4;248;343;271
14399;2010;2011;8;Sunday;17.10.2010;15:30;Klautern;Frankfurt;0;3;14;10;237;332;294
14400;2010;2011;8;Sunday;17.10.2010;17:30;Hoffenheim;Gladbach;3;2;6;15;158;415;527
