Russia;Saudi Arabia;1,46;4,33;9,11
Egypt;Uruguay;8,32;4,09;1,51
Morocco;Iran;2,23;2,98;4,17
Portugal;Spain;4,42;3,25;2,03
France;Australia;1,26;7,25;10,6
Argentina;Iceland;1,33;5,37;11,48
Peru;Denmark;3,69;3,1;2,33
Croatia;Nigeria;1,68;3,76;6,15
Costa Rica;Serbia;5,33;3,42;1,84
Germany;Mexico;1,5;4,55;7,23
Brazil;Switzerland;1,48;4,4;8,2
Sweden;South Korea;2,27;3,05;3,9
Belgium;Panama;1,22;6,74;17,86
Tunisia;England;8,46;4,23;1,49
Colombia;Japan;1,89;3,33;5,12
Poland;Senegal;2,52;3,04;3,33
Russia;Egypt;1,95;3,58;4,31
Portugal;Morocco;1,7;3,71;6,07
Uruguay;Saudi Arabia;1,22;6,67;18,44
Iran;Spain;19,42;6,78;1,21
Denmark;Australia;1,92;3,42;4,68
France;Peru;1,62;3,86;6,6
Argentina;Croatia;2,11;3,27;4,14
Brazil;Costa Rica;1,21;6,7;19,58
Nigeria;Iceland;2,99;3,08;2,72
Serbia;Switzerland;2,77;3,03;3
Belgium;Tunisia;1,34;5,16;12,07
South Korea;Mexico;5,63;3,82;1,71
Germany;Sweden;1,47;4,64;7,7
England;Panama;1,22;6,39;18,94
Japan;Senegal;3,2;2,94;2,68
Poland;Colombia;3,49;3,44;2,22
Uruguay;Russia;2,77;3,05;2,96
Saudi Arabia;Egypt;5,31;3,63;1,77
Spain;Morocco;1,37;5,05;10,1
Iran;Portugal;6,28;4,09;1,61
Denmark;France;5,46;2,76;2,07
Australia;Peru;2,95;3,52;2,48
Iceland;Croatia;4,42;4;1,82
Nigeria;Argentina;5,96;5,19;1,5
Mexico;Sweden;2,22;3,39;3,57
South Korea;Germany;19,52;8,28;1,17
Serbia;Brazil;7,59;4,65;1,47
Switzerland;Costa Rica;1,6;3,66;7,64
Senegal;Colombia;5,13;3,78;1,76
Japan;Poland;2,94;3,12;2,72
England;Belgium;2,48;2,84;3,68
Panama;Tunisia;4,34;3,76;1,88
France;Argentina;2,45;3,11;3,34
Uruguay;Portugal;3,07;3;2,74
Spain;Russia;1,59;4,12;6,49
Croatia;Denmark;1,98;3,24;4,69
Brazil;Mexico;1,49;4,46;7,77
Belgium;Japan;1,42;4,69;8,78
Sweden;Switzerland;3,42;2,96;2,53
Colombia;England;4,12;3,12;2,15
Uruguay;France;4,73;3,12;2,02
Brazil;Belgium;2,13;3,45;3,76
Sweden;England;5,22;3,4;1,85
Russia;Croatia;4,08;3,16;2,15
France;Belgium;2,61;3,13;3,07
Croatia;England;3,9;3;2,29
Belgium;England;2,2;3,84;3,23
France;Croatia;2,16;3,05;4,26
